,mkt_id,output_own_price,output_own_cost,output_comp_price,output_own_profits,output_X,output_own_share,output_own_sales,day
0,44,7.05,5.9,7.11,15.065,42.8,0.5152673,13.1,1
1,44,7.05,6.05,7.11,24.31,36.14,0.5570819,24.31,2
2,44,7.05,5.98,7.28,30.78391,34.34,0.5799217,28.77,3
3,44,7.05,5.98,7.28,20.1695,36.32,0.5427674,18.85,4
4,44,6.79,6.07,6.68,1.2312,44.06,0.4947566,1.71,5
5,44,6.79,5.96,6.68,1.577,44.24,0.4562896,1.9,6
6,44,7.1,5.96,7.07,14.1132,42.8,0.6933792,12.38,7
7,44,7.1,6.03,7.07,19.44189,41.54,0.5679079,18.17,8
8,44,7.1,5.99,7.07,26.6289,35.78,0.5599454,23.99,9
9,44,7.1,5.99,7.29,31.7793,33.8,0.5427551,28.63,10
10,44,7.1,6.04,7.29,21.0622,40.1,0.5535361,19.87,11
11,44,6.74,6.01,6.74,1.803099,41.54,0.5351149,2.47,12
12,44,6.74,5.98,6.74,1.254,43.7,0.4367998,1.65,13
13,44,7.2,6.01,7.2,19.25419,37.04,0.4693431,16.18,14
14,44,7.2,5.9,7.2,15.431,39.02,0.4262858,11.87,15
15,44,7.2,5.99,7.2,17.8354,41.72,0.4705034,14.74,16
16,44,7.2,6.02,7.18,25.5234,38.12,0.5640621,21.63,17
17,44,7.2,5.97,7.18,32.2506,33.26,0.5171713,26.22,18
18,44,6.74,5.98,6.75,4.248399,31.82,0.5981302,5.59,19
19,44,6.74,6.03,6.75,3.450598,28.58,0.3740836,4.86,20
20,44,7.42,6.02,7.4,40.082,28.04,0.4826455,28.63,21
21,44,7.42,6.02,7.4,41.622,29.3,0.5786614,29.73,22
22,44,7.42,5.93,7.4,47.7247,29.12,0.7550288,32.03,23
23,44,7.42,5.87,7.38,43.09,29.12,0.4782098,27.8,24
24,44,7.42,5.95,7.38,35.97091,29.84,0.4457766,24.47,25
25,44,6.74,5.99,6.78,3.4725,32.18,0.5423183,4.63,26
26,44,6.74,6.03,6.78,2.754798,34.7,0.5419803,3.88,27
27,44,7.42,6.11,7.27,31.5186,34.16,0.5581599,24.06,28
28,44,7.42,6.04,7.27,33.2856,32.36,0.4853461,24.12,29
29,44,7.42,5.9,7.27,35.1424,32.18,0.5030605,23.12,30
30,44,7.42,6.01,7.26,35.6307,32.18,0.5119505,25.27,31
31,44,7.42,5.99,7.26,37.50891,32.18,0.5354859,26.23,1
32,44,6.75,5.99,6.67,4.506801,32.18,0.4744768,5.93,2
33,44,6.75,6.02,6.67,3.3872,32.18,0.516659,4.64,3
34,44,7.39,6.09,7.34,29.58799,32.0,0.5008409,22.76,4
35,44,7.39,6.01,7.34,19.4994,33.44,0.329473,14.13,5
36,44,7.39,5.91,7.34,15.836,37.94,0.3420586,10.7,6
37,44,7.39,6.01,7.17,16.9602,41.18,0.4027154,12.29,7
38,44,7.39,6.02,7.17,19.5088,41.36,0.442182,14.24,8
39,44,6.74,6.01,6.68,1.474599,42.8,0.5861879,2.02,9
40,44,6.74,5.96,6.68,1.770599,41.36,0.4224788,2.27,10
41,44,7.18,5.97,7.19,21.3565,40.1,0.4911952,17.65,11
42,44,7.18,6.03,7.19,21.86149,39.92,0.5216136,19.01,12
43,44,7.18,6.02,7.19,7.771999,42.44,0.2914569,6.7,13
44,44,7.18,5.97,7.21,24.1032,38.66,0.546366,19.92,14
45,44,7.18,6.03,7.21,22.03399,38.12,0.6391879,19.16,15
46,44,6.74,6.01,6.71,1.949099,39.2,0.4733767,2.67,16
47,44,6.74,6.04,6.71,2.498999,39.38,0.512125,3.57,17
48,44,7.2,5.96,7.15,23.5476,39.92,0.6230357,18.99,18
49,44,7.2,6.11,7.15,16.5789,42.08,0.5392246,15.21,19
50,44,7.2,5.98,7.15,16.0796,43.88,0.5497248,13.18,20
51,44,7.2,5.94,7.0,16.695,45.14,0.5621514,13.25,21
52,44,7.2,5.95,7.0,16.5625,44.42,0.473634,13.25,22
53,44,6.66,5.93,6.72,2.482,38.48,0.5348258,3.4,23
54,44,6.66,5.99,6.72,1.8894,39.56,0.5522923,2.82,24
55,44,7.22,6.02,7.2,19.86,40.28,0.473575,16.55,25
56,44,7.22,5.94,7.2,22.66879,40.64,0.6296564,17.71,26
57,44,7.22,6.03,7.2,8.686997,41.9,0.2930943,7.3,27
58,44,7.22,6.0,7.07,19.9226,41.72,0.5650172,16.33,28
59,44,7.22,6.08,7.07,14.934,43.52,0.4461958,13.1,1
60,44,6.86,6.14,6.77,1.476001,42.62,0.4670815,2.05,2
61,44,6.86,6.03,6.77,0.6888999,47.3,0.4645241,0.83,3
62,44,7.12,5.97,7.16,15.732,45.14,0.5390083,13.68,4
63,44,7.12,5.94,7.16,19.352,41.9,0.5501068,16.4,5
64,44,7.12,6.08,7.16,16.6088,42.62,0.6045969,15.97,6
65,44,7.12,6.0,7.14,12.3984,45.68,0.4949973,11.07,7
66,44,7.12,5.96,7.14,15.486,44.24,0.5202026,13.35,8
67,44,6.85,6.12,6.7,0.7227,43.7,0.4072785,0.99,9
68,44,6.85,6.0,6.7,1.8275,39.02,0.3521793,2.15,10
69,44,7.21,6.01,7.24,19.596,37.58,0.4361364,16.33,11
70,44,7.21,6.0,7.24,17.5087,39.56,0.4222546,14.47,12
71,44,7.21,5.98,7.24,19.9014,41.18,0.542336,16.18,13
72,44,7.21,6.01,7.14,11.892,42.44,0.44835,9.91,14
73,44,7.21,5.99,7.14,12.5294,42.8,0.4543048,10.27,15
74,44,6.71,5.98,6.66,1.6571,42.8,0.5144644,2.27,16
75,44,6.71,6.05,6.66,1.5774,44.42,0.5558968,2.39,17
76,44,7.21,6.02,7.27,18.4093,41.9,0.4977819,15.47,18
77,44,7.21,6.04,7.27,18.3222,41.54,0.5518075,15.66,19
78,44,7.21,5.95,7.27,18.6732,42.8,0.5724526,14.82,20
79,44,7.21,6.01,7.1,10.512,49.46,0.5072523,8.76,21
80,44,7.21,6.04,7.1,7.2306,53.06,0.5153887,6.18,22
81,44,6.62,5.9,6.71,1.1736,47.48,0.6002733,1.63,23
82,44,6.62,5.94,6.71,1.5028,45.68,0.6370381,2.21,24
83,44,7.07,5.93,7.23,13.9764,42.98,0.4773683,12.26,25
84,44,7.07,6.0,7.23,17.2163,43.52,0.5963309,16.09,26
85,44,7.07,6.04,7.23,8.888902,47.3,0.5207312,8.63,27
86,44,7.07,6.01,6.97,7.059599,51.44,0.4420974,6.66,28
87,44,7.07,5.98,6.97,4.730601,53.42,0.3969305,4.34,29
