mkt_id,output_own_price,output_own_cost,output_comp_price,output_own_profits,output_X,output_own_share,output_own_sales,day
164,7.25,5.99,7.11,25.578,37.4,0.6218529,20.3,18
603,7.34,5.96,7.4,38.019,28.94,0.4756246,27.55,21
7394,7.05,6.01,7.06,5.1896,55.58,0.438841,4.99,30
7370,7.11,6.08,7.11,5.613501,54.68,0.5443869,5.45,19
3875,6.93,5.96,6.99,0.8438998,75.74,0.565968,0.87,28
4887,6.65,6.01,6.72,0.5183999,51.8,0.4363256,0.81,20
15000,6.99,5.93,6.98,3.9538,58.82,0.4427516,3.73,25
7341,6.98,5.95,6.99,0.2987001,85.1,0.4890459,0.29,23
7187,7.14,6.02,7.17,26.6224,36.5,0.6444976,23.77,12
2261,6.8,6.06,6.57,2.360601,36.68,0.3744086,3.19,7
4896,7.13,5.93,7.13,19.83601,41.9,0.5425965,16.53,18
7106,6.96,5.94,6.98,1.0302,75.02,0.5093199,1.01,6
7075,6.67,5.92,6.61,0.7875,51.44,0.5606388,1.05,6
7389,7.13,6.05,7.14,8.4024,51.62,0.5805449,7.78,10
7393,7.04,5.92,7.02,0.9631999,72.5,0.4697569,0.86,2
183,7.0,6.06,6.95,0.9400001,73.22,0.5473599,1.0,8
2704,7.16,6.05,7.07,8.746798,49.82,0.4638257,7.88,28
7432,7.2,6.03,7.19,14.0751,42.8,0.4765755,12.03,15
3875,6.76,6.03,6.73,1.1461,46.04,0.6643072,1.57,5
183,7.28,6.05,7.14,12.9027,46.04,0.4650082,10.49,22
2306,6.77,6.05,6.8,0.2231999,58.46,0.469005,0.31,21
167,6.99,5.89,7.05,0.8249999,76.28,0.5347577,0.75,12
5109,6.99,5.97,7.08,0.6426,77.36,0.4609094,0.63,28
2704,7.09,5.94,6.93,4.163,60.8,0.4718176,3.62,9
7403,7.07,6.0,7.03,2.6536,63.32,0.4362645,2.48,12
7374,7.03,5.95,7.13,8.316003,47.12,0.4610119,7.7,1
2261,6.78,6.05,6.8,1.5695,43.34,0.557659,2.15,13
7389,7.13,5.98,7.15,15.318,45.14,0.5315206,13.32,7
5142,6.88,5.94,6.97,2.538,65.84,0.6310154,2.7,3
5099,7.19,5.99,7.14,21.072,39.02,0.5349007,17.56,20
5029,7.06,5.95,7.06,10.8114,48.56,0.6167948,9.74,4
